anzsco_code,occupation,description
1336,"Supply, Distribution and Procurement Managers","Supply, Distribution and Procurement Managers plan, organise, direct, control and coordinate the supply, storage and distribution of goods, products and services produced and used by organisations."
1341,Child Care Centre Managers,"Child Care Centre Managers plan, organise, direct, control and coordinate the activities of childcare centres and services including physical and human resources."
1342,Health and Welfare Services Managers,"Health and Welfare Services Managers plan, organise, direct, control and coordinate the professional and administrative aspects of health and welfare programs and services. Nurse Managers are excluded from this unit group."
1343,School Principals,"School Principals plan, organise, direct, control and coordinate the educational and administrative aspects of primary, middle or intermediate, and secondary schools including physical and human resources."
1344,Other Education Managers,"Other Education Managers plan, organise, direct, control and coordinate educational policy, and provide advice and educational and administrative support to staff and students in educational institutions."
1351,ICT Managers,"ICT Managers plan, organise, direct, control and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems within organisations."
1399,Other Specialist Managers,"This unit group covers Specialist Managers not elsewhere classified. It includes Arts Administrators or Managers, Environmental Managers, Laboratory Managers, Sports Administrators, Quality Assurance Managers and Regulatory Affairs Managers."
1411,Cafe and Restaurant Managers,"Cafe and Restaurant Managers organise and control the operations of cafes, restaurants and related establishments to provide dining and catering services."
1413,Hotel and Motel Managers,"Hotel and Motel Managers organise and control the operations of hotels and motels to provide guest accommodation, meals and other services."
1414,Licensed Club Managers,"Licensed Club Managers organise and control the operations of licensed clubs to provide food, beverages, gaming, entertainment, sporting and other amenities for members."
1421,Retail Managers,Retail Managers organise and control the operations of establishments which provide retail services.
1491,"Amusement, Fitness and Sports Centre Managers","Amusement, Fitness and Sports Centre Managers organise, control and promote the activities, facilities and resources of amusement, fitness and sports centres."
1493,Conference and Event Organisers,"Conference and Event Organisers organise and coordinate services for conferences, events, functions, banquets and seminars."
2112,Music Professionals,"Music Professionals write, arrange, orchestrate, conduct and perform musical compositions."
2113,Photographers,Photographers operate still cameras to take photographs.
2114,Visual Arts and Crafts Professionals,"Visual Arts and Crafts Professionals create visual two- and three-dimensional concepts and forms through painting, drawing, carving, sculpting, modelling, printmaking, video, multimedia, found objects, ephemera, soundscapes and other media to communicate concepts and ideas."
2123,"Film, Television, Radio and Stage Directors","Film, Television, Radio and Stage Directors direct the artistic and production aspects of film, television, radio and stage productions."
2124,Journalists and Other Writers,"Journalists and Other Writers research and compile news stories, write and edit news reports, commentaries and feature stories for presentation in print and electronic media, and compose written material to advertise goods and services."
2211,Accountants,"Accountants provide services relating to financial reporting, taxation, auditing, insolvency, accounting information systems, budgeting, cost management, planning and decision-making by organisations and individuals; and provide advice on associated compliance and performance requirements to ensure statutory and strategic governance."
2212,"Auditors, Company Secretaries and Corporate Treasurers","Auditors, Company Secretaries and Corporate Treasurers conduct audits of accounting systems, procedures and financial statements, manage corporate funding and financial risk, and administer and review corporate compliance activities."
2221,Financial Brokers,Financial Brokers operate as independent agents to facilitate the trading of commodities and arrange insurance and loans of money on behalf of clients.
2222,Financial Dealers,Financial Dealers conduct financial market transactions on behalf of clients.
2233,Training and Development Professionals,"Training and Development Professionals plan, develop, implement and evaluate training and development programs to ensure management and staff acquire the skills and develop the competencies required by organisations to meet organisational objectives."
2241,Mathematical Science Professionals,"Mathematical Science Professionals develop and apply actuarial, mathematical, statistical and quantitative principles and techniques to solve problems in a range of fields such as business and finance, scientific and social research, and engineering. Econometricians are excluded from this unit group."
2243,Economists,"Economists perform economic research and analysis, develop and apply theories about production and distribution of goods and services and people's spending and financial behaviour, and provide advice to governments and organisations on economic policy issues. Statisticians are excluded from this unit group."
2245,Land Economists and Valuers,"Land Economists and Valuers provide advice on the administration and use of land and property, and assess the value of land, property and other items such as commercial equipment and objects of art."
2246,Librarians,"Librarians develop, organise and manage library services such as collections of information, recreational resources and reader information services. Teacher-Librarians are excluded from this unit group."
2247,Management and Organisation Analysts,"Management and Organisation Analysts assist organisations to achieve outcomes, continual improvement and greater efficiency. They study organisational structures, methods, risks, systems and procedures. ICT Business Analysts are excluded from this unit group."
2251,Advertising and Marketing Professionals,"Advertising and Marketing Professionals develop and coordinate advertising strategies and campaigns, determine the market for new goods and services, and identify and develop market opportunities for new and existing goods and services."
2252,ICT Sales Professionals,"ICT Sales Professionals manage client accounts and represent companies in selling a range of computer hardware, software and other ICT goods and services to industrial, business, professional and other organisations."
2253,Public Relations Professionals,"Public Relations Professionals plan, develop, implement and evaluate information and communication strategies that create an understanding and a favourable view of organisations, their goods and services, and their role in the community."
2254,Technical Sales Representatives,"Technical Sales Representatives represent companies in selling a range of industrial, medical and pharmaceutical goods and services to industrial, business, professional and other establishments."
2311,Air Transport Professionals,"Air Transport Professionals fly and navigate aircraft, control and direct air traffic to ensure the safe and efficient operation of aircraft in flight and on the ground, and instruct students in flying aircraft."
2312,Marine Transport Professionals,"Marine Transport Professionals control and manage the operations of ships, boats and marine equipment."
2321,Architects and Landscape Architects,"Architects and Landscape Architects design commercial, industrial, institutional, residential and recreational buildings and landscapes."
2322,Surveyors and Spatial Scientists,"Surveyors and Spatial Scientists plan, direct and conduct survey work to determine and delineate boundaries and features of tracts of land, marine floors and underground works, prepare and revise maps, charts and other geographic products, and analyse, present and maintain geographical information about locations in space and time."
2323,"Fashion, Industrial and Jewellery Designers","Fashion, Industrial and Jewellery Designers plan, design, develop and document products for manufacture and prepare designs and specifications of products for mass, batch and one-off production."
2324,"Graphic and Web Designers, and Illustrators","Graphic and Web Designers, and Illustrators design information for visual and audio communication, publication and display using print, film, electronic, digital and other forms of visual and audio media."
2325,Interior Designers,"Interior Designers plan, design, detail and supervise the construction of commercial, industrial, retail and residential building interiors to produce an environment tailored to a purpose, with particular emphasis on space creation, space planning, and factors that enhance living and working environments."
2326,Urban and Regional Planners,"Urban and Regional Planners develop and implement plans and policies for the controlled use of urban and rural land, and advise on economic, environmental and social factors affecting land use."
2331,Chemical and Materials Engineers,"Chemical and Materials Engineers design and prepare specifications for chemical process systems and the construction and operation of commercial-scale chemical plants, supervise industrial processing and fabrication of products undergoing physical and chemical change, and investigate the properties of metals, ceramics, polymers and other materials and assess and develop their engineering and commercial applications."
2332,Civil Engineering Professionals,"Civil Engineering Professionals design, plan, organise and oversee the construction of civil engineering projects such as dams, bridges, pipelines, gas and water supply schemes, sewerage systems, roads, airports and other structures; analyse the likely behaviour of soil and rock when placed under pressure by proposed structures and design structural foundations; analyse the statical properties of all types of structures and test the behaviour and durability of materials used in their construction; plan and develop transportation systems; and estimate and monitor the construction costs of projects."
2333,Electrical Engineers,"Electrical Engineers design, develop and supervise the manufacture, installation, operation and maintenance of equipment, machines and systems for the generation, distribution, utilisation and control of electric power."
2334,Electronics Engineers,"Electronics Engineers design, develop, adapt, install, test and maintain electronic components, circuits and systems used for computer, communication, command and warfare systems, entertainment, transport and other industrial applications."
2335,"Industrial, Mechanical and Production Engineers","Industrial, Mechanical and Production Engineers design, organise and oversee the construction, operation, logistics and maintenance of mechanical and process plant and installations, establish programs for the coordination of manufacturing activities, and ensure usage of resources is cost effective."
2336,Mining Engineers,"Mining Engineers plan and direct the engineering aspects of locating and extracting minerals, petroleum and natural gas from the earth."
2339,Other Engineering Professionals,"This unit group covers Engineering Professionals not elsewhere classified. It includes Aeronautical Engineers, Agricultural Engineers, Biomedical Engineers, Engineering Technologists, Environmental Engineers and Naval Architects / Marine Designers."
2341,"Agricultural, Fisheries and Forestry Scientists","Agricultural, Fisheries and Forestry Scientists advise farmers, primary industries and government on aspects of farming, fisheries, aquaculture and forestry, develop techniques for increasing productivity, and study and develop plans and policies for the management of land, fisheries and forest areas."
2342,"Chemists, and Food and Wine Scientists","Chemists, and Food and Wine Scientists study the chemical and physical properties of substances, develop and monitor chemical processes and production, develop new and improve existing food products, and plan and coordinate the production of wine and spirits."
2343,Environmental Scientists,"Environmental Scientists study, develop, implement and advise on policies and plans for managing and protecting the environment, flora, fauna and other natural resources."
2344,"Geologists, Geophysicists and Hydrogeologists","Geologists, Geophysicists and Hydrogeologists study the composition, structure and other physical attributes of the earth, locate and advise on the extraction of minerals, petroleum and ground water, and detect, monitor and forecast seismic, magnetic, electrical, thermal and oceanographic activity. Geographers are excluded from this unit group."
2345,Life Scientists,"Life Scientists examine the anatomy, physiology and biochemistry of humans, animals, plants, insects, and other living organisms to better understand how living organisms function and interact with each other and the environment in which they live."
2346,Medical Scientists,"Medical Scientists conduct medical tests to assist in the diagnosis, treatment and prevention of diseases and health conditions."
2347,Veterinarians,"Veterinarians diagnose, treat and prevent animal diseases, ailments and injuries."
2411,Early Childhood (Pre-primary School) Teachers,"Early Childhood (Pre-primary School) Teachers teach the basics of numeracy, literacy, music, art and literature to early childhood (pre-primary) students and promote students' social, emotional, intellectual and physical development. Note data does not include 241112 Kaiako Kohanga Reo (Móori Language Nest Teacher)."
2412,Primary School Teachers,"Primary School Teachers teach a range of subjects within a prescribed curriculum to primary school students and promote students' social, emotional, intellectual and physical development. Note data does not include 241211 Kaiako Kura Kaupapa Móori (Móori-medium Primary School Teacher) or 241212 Pouako Kura Kaupapa Móori (Móori-medium Primary School Senior Teacher)."
2413,Middle School Teachers / Intermediate School Teachers,"Middle School Teachers or Intermediate School Teachers teach one or more subjects within a prescribed curriculum to middle school or intermediate school students and promote students' social, emotional, intellectual and physical development."
2414,Secondary School Teachers,"Secondary School Teachers teach one or more subjects within a prescribed curriculum to secondary school students and promote students' social, emotional, intellectual and physical development."
2415,Special Education Teachers,"Special Education Teachers teach primary, middle or intermediate, and secondary school students with learning difficulties, hearing impairment and sight impairment, and promote students' social, emotional, intellectual and physical development."
2421,University Lecturers and Tutors,University Lecturers and Tutors prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university and conduct research in a particular field of knowledge.
2422,Vocational Education Teachers / Polytechnic Teachers,"Vocational Education Teachers / Polytechnic Teachers teach one or more subjects within a prescribed course of study at technical and further education (TAFE) institutes, polytechnics and other training institutes to tertiary students for vocational education and training purposes."
2491,Education Advisers and Reviewers,"Education Advisers and Reviewers conduct educational research, develop course curricula and associated teaching materials for use by educational institutions, and review and examine the work of teachers and the results from curriculum programs in school settings."
2492,Private Tutors and Teachers,"Private Tutors and Teachers teach students in the practice, theory and performance of subjects, such as art, dance, drama and music, in private training establishments."
2493,Teachers of English to Speakers of Other Languages,Teachers of English to Speakers of Other Languages teach classes in English to students whose first language is a language other than English.
2511,Nutrition Professionals,Nutrition Professionals apply the science of human nutrition to assist people to attain better health and to help prevent and treat various illnesses and diseases.
2512,Medical Imaging Professionals,"Medical Imaging Professionals operate X-ray and other radiation producing and imaging equipment for diagnostic, monitoring and treatment purposes under the direction of Radiologists and other Medical Practitioners."
2513,Occupational and Environmental Health Professionals,"Occupational and Environmental Health Professionals develop, implement and evaluate policies and programs to monitor environmental health and occupational health and safety and related legislation to ensure safe and healthy working conditions, and assist injured staff through the workers' compensation and rehabilitation process."
2514,Optometrists and Orthoptists,"Optometrists and Orthoptists perform eye examinations and vision tests, prescribe lenses, other optical aids and therapy, and diagnose and manage eye movement disorders and associated sensory problems."
2515,Pharmacists,"Pharmacists ensure safe and quality use of medicines, and optimise health outcomes by contributing to selecting, prescribing, monitoring and evaluating medicine therapy, and researching, testing and developing pharmaceuticals and medical products."
2519,Other Health Diagnostic and Promotion Professionals,This unit group covers Health Diagnostic and Promotion Professionals not elsewhere classified. It includes Health Promotion Officers and Orthotists or Prosthetists.
2521,Chiropractors and Osteopaths,"Chiropractors and Osteopaths diagnose and treat physiological and mechanical disorders of the locomotor system and tissue strain, stress and dysfunction that impede normal neural, vascular and biochemical mechanisms, and provide advice on preventing these disorders."
2522,Complementary Health Therapists,"Complementary Health Therapists treat patients with physical, mental, spiritual and emotional needs by considering the whole person rather than focusing on specific symptoms and by using various therapies, techniques and practices. Note data does not include 252215 Traditional Móori Health Practitioner."
2523,Dental Practitioners,"Dental Practitioners diagnose and treat dental disease, restore normal oral function using a broad range of treatments, such as surgery and other specialist techniques, and advise on oral health."
2524,Occupational Therapists,"Occupational Therapists assess functional limitations of people resulting from illnesses and disabilities, and provide therapy to enable people to perform their daily activities and occupations."
2525,Physiotherapists,"Physiotherapists assess, treat and prevent disorders in human movement caused by injury or disease."
2526,Podiatrists,"Podiatrists prevent, diagnose and treat disorders of the feet."
2527,Audiologists and Speech Pathologists / Therapists,"Audiologists and Speech Pathologists or Therapists provide diagnostic assessment, treatment, rehabilitative services and management of human hearing defects, and communication and swallowing impairments."
2531,General Practitioners and Resident Medical Officers,"General Practitioners and Resident Medical Officers diagnose and treat physical and mental illnesses, disorders and injuries, recommend preventative action and refer patients to specialist Medical Practitioners, other health care workers, and social, welfare and support workers."
2532,Anaesthetists,"Anaesthetists provide direct medical care to patients requiring general or local anaesthesia for surgical, diagnostic and other procedures such as prevention of pain and maintenance of body function. Anaesthetic Registrars training as Anaesthetists are included in this unit group."
2533,Specialist Physicians,"Specialist Physicians diagnose and treat internal human disorders and diseases using specialist testing, diagnostic and medical techniques. Medical Registrars training as Specialist Physicians are included in this unit group."
2534,Psychiatrists,"Psychiatrists diagnose, assess, treat and prevent human mental, emotional and behavioural disorders. Psychiatric Registrars training as Psychiatrists are included in this unit group."
2535,Surgeons,"Surgeons perform surgery to correct deformities, repair injuries, prevent and treat diseases, and improve human functioning and appearance. Medical Registrars training as Surgeons are included in this unit group."
2539,Other Medical Practitioners,"This unit group covers Medical Practitioners not elsewhere classified. It includes Dermatologists, Emergency Medicine Specialists, Obstetricians and Gynaecologists, Ophthalmologists, Pathologists, Diagnostic and Interventional Radiologists, and Radiation Oncologists. Medical Registrars training in these specialties are included in this unit group."
2541,Midwives,"Midwives provide care and advice to women during pregnancy, labour and childbirth, and postnatal care for women and babies in a range of settings such as the home, community, hospitals, clinics and health units."
2542,Nurse Educators and Researchers,"Nurse Educators and Researchers provide clinical and theoretical education to and promote professional development of nurses and midwives, and conduct research into nursing practice."
2543,Nurse Managers,"Nurse Managers manage health service units and sub-units of hospitals, aged care and community health care facilities, supervise nursing staff and financial resources to enable the provision of safe, cost effective nursing care within specified fields or for particular units, and monitor quality, clinical standards and professional development of nurses. Directors of Nursing are excluded from this unit group."
2544,Registered Nurses,"Registered Nurses provide nursing care to patients in hospitals, aged care and other health care facilities, and in the community."
2611,ICT Business and Systems Analysts,"ICT Business and Systems Analysts work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users' business needs. Non-ICT Business Analysts (for example, Management Consultants) are excluded from this unit group. Non-ICT Business Analysts are included in Unit Group 2247 Management and Organisation Analysts."
2612,Multimedia Specialists and Web Developers,"Multimedia Specialists and Web Developers create computer animation, audio, video and graphic image files for multimedia presentations, games, motion pictures, CD-ROMs, information kiosks and the web, and plan, produce and maintain websites and web applications using web programming, scripting, authoring, content management and file transfer software."
2613,Software and Applications Programmers,"Software and Applications Programmers design, develop, test, maintain and document program code in accordance with user requirements, and system and technical specifications."
2621,"Database and Systems Administrators, and ICT Security Specialists","Database and Systems Administrators, and ICT Security Specialists plan, develop, maintain, manage and administer organisations' database management systems, operating systems and security policies and procedures to ensure optimal database and system integrity, security, backup, reliability and performance."
2631,Computer Network Professionals,"Computer Network Professionals research, analyse and recommend strategies for network architecture and development, implement, manage, maintain and configure network hardware and software, and monitor and optimise performance, and troubleshoot and provide user support."
2632,ICT Support and Test Engineers,"ICT Support and Test Engineers develop procedures and strategies to support, create, maintain and manage technical quality assurance processes and guidelines and systems infrastructure, investigate, analyse and resolve system problems and performance issues, and test the behaviour, functionality and integrity of systems."
2633,Telecommunications Engineering Professionals,"Telecommunications Engineering Professionals design, construct, install, service and support telecommunications equipment, systems and facilities."
2711,Barristers,"Barristers plead cases before civil, criminal and industrial courts and other tribunals."
2712,Judicial and Other Legal Professionals,"Judicial and Other Legal Professionals hear legal and other matters in courts and tribunals; interpret, analyse, administer and provide advice on the law; and draft legislation."
2713,Solicitors,"Solicitors provide legal advice, prepare and draft legal documents, and conduct negotiations on behalf of clients on matters associated with the law."
2721,Counsellors,"Counsellors provide information on vocational, relationship, social and educational difficulties and issues, and work with people to help them to identify and define their emotional issues through therapies such as cognitive behaviour therapy, interpersonal therapy and other talking therapies."
2722,Ministers of Religion,"Ministers of Religion perform spiritual functions associated with beliefs and practices of religious faiths, and provide motivation, guidance and training in religious life for the people of congregations and parishes, and the wider community."
2723,Psychologists,"Psychologists investigate, assess and provide treatment and counselling to foster optimal personal, social, educational and occupational adjustment and development."
2724,Social Professionals,"Social Professionals research and study human behaviour, society and institutions from current and historical perspectives, and verbally render spoken statements, and transcribe text and recorded spoken material from one language into another."
2725,Social Workers,"Social Workers assess the social needs of individuals, families and groups, assist and empower people to develop and use the skills and resources needed to resolve social and other problems, and further human wellbeing and human rights, social justice and social development."
2726,"Welfare, Recreation and Community Arts Workers","Welfare, Recreation and Community Arts Workers design and implement strategies and programs to meet community and individual needs and assist individuals, families and groups with social, emotional and financial difficulties to improve quality of life by educating and supporting them and working towards change in their social environment."
3111,"Agricultural, Agritech and Aquaculture Technicians","Agricultural, Agritech and Aquaculture Technicians perform tests and experiments, and provide technical support to assist Agricultural and Fisheries Scientists, Agronomists and Farmers in areas such as research, crop and animal health, production, servicing and marketing."
3112,Medical Technicians,"Medical Technicians operate anaesthetic, cardiac, operating theatre and medical testing equipment, perform and assist with laboratory tests, and fill prescriptions in support of Health Professionals."
3122,Civil Engineering Draftspersons and Technicians,"Civil Engineering Draftspersons and Technicians assist in civil engineering research, design, construction, operations and maintenance."
3123,Electrical Engineering Draftspersons and Technicians,"Electrical Engineering Draftspersons and Technicians assist in electrical engineering research, design, manufacture, assembly, construction, operation and maintenance of equipment, facilities and distribution systems."
3124,Electronic Engineering Draftspersons and Technicians,"Electronic Engineering Draftspersons and Technicians assist in electronic engineering research, design, manufacture, assembly, construction, operation and maintenance of equipment, facilities and systems."
3125,Mechanical Engineering Draftspersons and Technicians,"Mechanical Engineering Draftspersons and Technicians assist in mechanical engineering research, design, manufacture, construction, operation and maintenance of machines, manufacturing equipment, mechanical installations and facilities."
3126,Safety Inspectors,"Safety Inspectors inspect machines, equipment, working conditions and public places to ensure compliance with government and industry standards and regulations, in relation to occupational health and safety."
3131,ICT Support Technicians,ICT Support Technicians provide support for the deployment and maintenance of computer infrastructure and web technology and the diagnosis and resolution of technical problems.
3132,Telecommunications Technical Specialists,"Telecommunications Technical Specialists develop, monitor and carry out technical support functions for telecommunications networks and install computer equipment, computer systems and microwave, telemetry, multiplexing, satellite and other radio and electromagnetic wave communication systems."
3211,Automotive Electricians,"Automotive Electricians install, maintain and repair electrical wiring and electronic components in motor vehicles."
3221,"Metal Casting, Forging and Finishing Trades Workers","Metal Casting, Forging and Finishing Trades Workers fabricate mould patterns and form sand moulds and cores for the production of metal castings, heat and hammer metal into shape, and make, repair, coat and polish metal parts and articles."
3222,Sheetmetal Workers,"Sheetmetal Workers mark out, shape, form and join sheetmetal and other materials to make products and components. Second Class Sheetmetal Workers are excluded from this unit group."
3231,Aircraft Maintenance Engineers,"Aircraft Maintenance Engineers maintain and repair aircraft structures, and avionic and mechanical systems."
3233,Precision Metal Trades Workers,"Precision Metal Trades Workers fabricate, assemble, maintain and repair metal precision instruments."
3241,Panelbeaters,"Panelbeaters repair damage to metal, fibreglass and plastic body work on vehicles, and form replacement vehicle panels."
3242,Vehicle Body Builders and Trimmers,"Vehicle Body Builders and Trimmers manufacture and repair prototype production units and purpose-built vehicle bodies, and install, repair and replace the interior trim of vehicles."
3243,Vehicle Painters,"Vehicle Painters prepare surfaces of vehicles, match and mix colours and apply paint."
3311,Bricklayers and Stonemasons,"Bricklayers and Stonemasons lay bricks, pre-cut stones and other types of building blocks in mortar to construct and repair walls, segmental paving, partitions, arches and other structures, and cut and shape hard and soft stone blocks and masonry slabs for the construction and renovation of stone structures and monumental masonry."
3312,Carpenters and Joiners,"Carpenters and Joiners construct, erect, install, renovate and repair structures and fixtures made of wood, plywood, lightweight steel, wallboard and other materials, and cut, shape and fit timber parts to form structures and fittings."
3321,Floor Finishers,"Floor Finishers measure, cut, install and repair carpet, timber, vinyl, resilient resin and concrete floor coverings."
3322,Painters,"Painters apply paint, varnish, wallpaper and other finishes to protect, maintain and decorate surfaces of buildings and structures. Painters (Visual Arts), Vehicle Painters and Industrial Spraypainters are excluded from this unit group."
3331,Glaziers,"Glaziers measure, cut, finish, fit and install flat glass and mirrors. Autoglaziers are excluded from this occupation."
3332,Plasterers and Renderers,"Plasterers and Renderers apply and fix plasterboard partitions, suspended ceilings, fire rating systems, acoustic ceiling panels, and composite wall linings to buildings, and apply decorative and protective coverings of plaster, cement and similar materials to the interiors and exteriors of structures."
3333,Roof Tilers,"Roof Tilers cover roofs with tiles, sheets and shingles to form a waterproof surface. Roof Plumbers (installers of sheetmetal roofing and guttering) are excluded from this occupation."
3334,Wall and Floor Tilers,"Wall and Floor Tilers lay ceramic, clay, slate, marble and glass tiles on external and internal walls and floors to provide protective and decorative finishes."
3341,Plumbers,"Plumbers install, maintain and repair pipes, drains, guttering and metal roofing, mechanical services and related equipment for water supply, gas, drainage, sewerage, heating, cooling and ventilation systems."
3411,Electricians,"Electricians design, assemble, install, test, commission, diagnose, maintain and repair electrical networks, systems, circuits, equipment, components, appliances and facilities for industrial, commercial and domestic purposes, and service and repair lifts, escalators and related equipment. Automotive Electricians are excluded from this unit group."
3421,Airconditioning and Refrigeration Mechanics,"Airconditioning and Refrigeration Mechanics assemble, install, maintain and repair industrial, commercial and domestic airconditioning and refrigeration systems and equipment."
3422,Electrical Distribution Trades Workers,"Electrical Distribution Trades Workers prepare, install, repair, maintain and patrol electric power distribution networks."
3424,Telecommunications Trades Workers,"Telecommunications Trades Workers install, maintain and repair data transmission equipment, aerial lines, conduits, cables, radio antennae and telecommunications equipment and appliances."
3511,Bakers and Pastrycooks,"Bakers and Pastrycooks prepare and bake bread loaves and rolls, buns, cakes, biscuits and pastry goods."
3512,Butchers and Smallgoods Makers,"Butchers and Smallgoods Makers select, cut, trim, prepare and arrange meat for sale and supply, operate meat and smallgoods processing machines, and manage the processes in the production of smallgoods."
3513,Chefs,"Chefs plan and organise the preparation and cooking of food in dining and catering establishments. Cooks, Fast Food Cooks and Kitchenhands are excluded from this unit group."
3514,Cooks,"Cooks prepare, season and cook food in dining and catering establishments. Chefs, Fast Food Cooks and Kitchenhands are excluded from this unit group."
3611,Animal Attendants and Trainers,"Animal Attendants and Trainers train, exercise, feed, groom, and care for animals."
3613,Veterinary Nurses,Veterinary Nurses care for animals under treatment and in temporary residence at veterinary facilities and assist Veterinarians to perform procedures and operations.
3621,Florists,Florists prepare and sell floral arrangements.
3624,Nurserypersons,"Nurserypersons propagate and cultivate trees, shrubs, and ornamental and flowering plants in a plant or forestry nursery."
3625,Arboriculture Workers,Arboriculture Workers maintain and care for individual trees and shrubs and provide specialist assessment and advice on trees and tree management in urban environments.
3626,Gardeners (General),"Gardeners (General) plant, cultivate and maintain parks and gardens."
3627,Landscape Gardeners and Irrigation Technicians,"Landscape Gardeners and Irrigation Technicians plan and construct garden landscapes, and install irrigation systems."
3631,"Senior Aquaculture, Crop and Forestry Workers","Senior Aquaculture, Crop and Forestry Workers apply in-depth industry specific knowledge to manage and supervise aspects of aquaculture, broadacre, horticultural crop, fisheries, forestry and vineyard production."
3632,Senior Livestock Farm Workers,"Senior Livestock Farm Workers perform a variety of skilled tasks in managing and supervising the breeding, feeding, raising and milking of livestock for the production of breeding stock, milk, eggs, meat, wool and hair."
3633,Shearers and Wool Classers,"Shearers and Wool Classers remove and classify wool and hair from sheep, goats, alpacas and other animals."
3911,Hairdressers,"Hairdressers cut, style, colour, straighten and permanently wave hair, and treat hair and scalp conditions."
3922,Graphic Pre-press Trades Workers,"Graphic Pre-press Trades Workers manipulate, set and compose text and graphics into a format suitable for printing and other visual media."
3923,Printers,"Printers set up and operate letterpress, lithographic, flexographic, gravure, newspaper, instant, digital and offset printing presses."
3933,Upholsterers,"Upholsterers make, rebuild and repair upholstered articles such as chairs, sofas, beds and mattresses."
3941,Cabinet and Furniture Makers,"Cabinet and Furniture Makers fabricate and install cabinetry, and fabricate, assemble and repair wooden and cane furniture, and fit and assemble prepared wooden parts to make furniture."
3991,Boat Builders and Shipwrights,"Boat Builders and Shipwrights construct, fit out and repair boats and ships."
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators","Chemical, Gas, Petroleum and Power Generation Plant Operators control the operation of chemical production equipment, pump gas and oil from wellheads, refine and process petroleum products, and operate boilers, turbogenerators and associated plant to generate electrical power."
3994,Jewellers,"Jewellers make and repair jewellery such as rings, brooches, chains and bracelets, craft objects out of precious metals, and cut, shape and polish rough gemstones to produce fashion and industrial jewels."
3996,Signwriters,"Signwriters design, fabricate and paint signs for displays, buildings, hoardings, boats and structures."
3999,Other Miscellaneous Technicians and Trades Workers,"This unit group covers Technicians and Trades Workers not elsewhere classified. It includes Divers, Interior Decorators, Optical Dispensers / Dispensing Opticians, Optical Mechanics, Photographer's Assistants, Plastics Technicians and Fire Protection Equipment Technicians."
4111,Ambulance Officers and Paramedics,"Ambulance Officers and Paramedics provide emergency health care and transport for injured, sick, infirm and aged persons to medical facilities."
4112,"Dental Hygienists, Technicians and Therapists","Dental Hygienists, Technicians and Therapists provide supportive dental services in preventative and restorative dental procedures, and construct and repair dental appliances."
4113,Diversional Therapists,"Diversional Therapists plan, design, coordinate and implement recreation and leisure-based activity programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals."
4114,Enrolled and Mothercraft Nurses,"Enrolled and Mothercraft Nurses provide nursing care to patients in hospitals, aged care and other health care facilities and in the community, and assist parents in providing care to newborn infants under the supervision of a Registered Nurse or Midwife."
